customer_id,email,name,country,signup_date,age,account_type,created_at
62,customer62@example.com,Customer 62,UK,2023-10-29,18,Individual,2023-10-29 00:00:00
63,customer63@example.com,Customer 63,Australia,2023-12-29,21,Individual,2023-12-29 00:00:00
64,customer64@example.com,Customer 64,USA,2023-02-04,73,Business,2023-02-04 00:00:00
65,customer65@example.com,Customer 65,France,2023-02-06,33,Business,2023-02-06 00:00:00
66,customer66@example.com,Customer 66,Germany,2023-12-09,31,Enterprise,2023-12-09 00:00:00
67,customer67@example.com,Customer 67,Australia,2023-03-09,74,Enterprise,2023-03-09 00:00:00
68,customer68@example.com,Customer 68,Germany,2023-10-23,33,Business,2023-10-23 00:00:00
69,customer69@example.com,Customer 69,UK,2023-07-28,24,Individual,2023-07-28 00:00:00
70,customer70@example.com,Customer 70,Germany,2023-12-04,40,Business,2023-12-04 00:00:00
71,customer71@example.com,Customer 71,Germany,2023-07-30,73,Enterprise,2023-07-30 00:00:00
72,customer72@example.com,Customer 72,Australia,2023-01-28,59,Enterprise,2023-01-28 00:00:00
73,customer73@example.com,Customer 73,USA,2023-02-20,43,Enterprise,2023-02-20 00:00:00
74,customer74@example.com,Customer 74,USA,2023-06-23,33,Individual,2023-06-23 00:00:00
75,customer75@example.com,Customer 75,France,2023-04-08,46,Individual,2023-04-08 00:00:00
76,customer76@example.com,Customer 76,UK,2023-08-05,35,Business,2023-08-05 00:00:00
77,customer77@example.com,Customer 77,USA,2023-05-08,46,Enterprise,2023-05-08 00:00:00
78,customer78@example.com,Customer 78,USA,2023-02-20,59,Enterprise,2023-02-20 00:00:00
79,customer79@example.com,Customer 79,USA,2023-01-08,66,Individual,2023-01-08 00:00:00
80,customer80@example.com,Customer 80,Germany,2023-03-27,49,Business,2023-03-27 00:00:00
81,customer81@example.com,Customer 81,Germany,2023-04-20,75,Individual,2023-04-20 00:00:00
82,customer82@example.com,Customer 82,Germany,2023-03-26,18,Business,2023-03-26 00:00:00
83,customer83@example.com,Customer 83,Germany,2023-05-16,36,Business,2023-05-16 00:00:00
84,customer84@example.com,Customer 84,Australia,2023-12-23,68,Enterprise,2023-12-23 00:00:00
85,customer85@example.com,Customer 85,Australia,2023-12-05,49,Individual,2023-12-05 00:00:00
86,customer86@example.com,Customer 86,Canada,2023-04-08,31,Individual,2023-04-08 00:00:00
87,customer87@example.com,Customer 87,Australia,2023-10-24,52,Individual,2023-10-24 00:00:00
88,customer88@example.com,Customer 88,USA,2023-06-10,21,Enterprise,2023-06-10 00:00:00
89,customer89@example.com,Customer 89,France,2023-09-02,72,Enterprise,2023-09-02 00:00:00
90,customer90@example.com,Customer 90,USA,2023-03-22,50,Individual,2023-03-22 00:00:00
91,customer91@example.com,Customer 91,USA,2023-04-06,56,Individual,2023-04-06 00:00:00
92,customer92@example.com,Customer 92,UK,2023-12-12,43,Individual,2023-12-12 00:00:00
93,customer93@example.com,Customer 93,UK,2023-10-19,55,Enterprise,2023-10-19 00:00:00
94,customer94@example.com,Customer 94,France,2023-01-21,23,Business,2023-01-21 00:00:00
95,customer95@example.com,Customer 95,France,2023-12-03,54,Enterprise,2023-12-03 00:00:00
96,customer96@example.com,Customer 96,Canada,2023-06-11,31,Enterprise,2023-06-11 00:00:00
97,customer97@example.com,Customer 97,UK,2023-06-10,34,Business,2023-06-10 00:00:00
98,customer98@example.com,Customer 98,Australia,2023-03-09,59,Business,2023-03-09 00:00:00
99,customer99@example.com,Customer 99,Canada,2023-08-23,66,Individual,2023-08-23 00:00:00
100,customer100@example.com,Customer 100,Germany,2023-01-05,57,Enterprise,2023-01-05 00:00:00
101,customer101@example.com,Customer 101,USA,2023-02-21,52,Individual,2023-02-21 00:00:00
102,customer102@example.com,Customer 102,Canada,2023-09-17,26,Business,2023-09-17 00:00:00
103,customer103@example.com,Customer 103,UK,2023-02-05,41,Business,2023-02-05 00:00:00
104,customer104@example.com,Customer 104,Germany,2023-03-22,71,Enterprise,2023-03-22 00:00:00
105,customer105@example.com,Customer 105,Canada,2023-12-27,57,Enterprise,2023-12-27 00:00:00
106,customer106@example.com,Customer 106,USA,2023-09-28,60,Enterprise,2023-09-28 00:00:00
107,customer107@example.com,Customer 107,Australia,2023-06-03,24,Individual,2023-06-03 00:00:00
108,customer108@example.com,Customer 108,USA,2023-05-16,74,Individual,2023-05-16 00:00:00
109,customer109@example.com,Customer 109,UK,2023-10-11,35,Business,2023-10-11 00:00:00
110,customer110@example.com,Customer 110,UK,2023-11-06,63,Business,2023-11-06 00:00:00
111,customer111@example.com,Customer 111,Australia,2023-04-15,58,Business,2023-04-15 00:00:00
112,customer112@example.com,Customer 112,Germany,2023-09-16,34,Individual,2023-09-16 00:00:00
113,customer113@example.com,Customer 113,Australia,2023-02-17,45,Business,2023-02-17 00:00:00
114,customer114@example.com,Customer 114,USA,2023-01-23,39,Individual,2023-01-23 00:00:00
115,customer115@example.com,Customer 115,Canada,2023-11-23,28,Enterprise,2023-11-23 00:00:00
116,customer116@example.com,Customer 116,France,2023-08-15,63,Business,2023-08-15 00:00:00
117,customer117@example.com,Customer 117,USA,2023-10-15,25,Individual,2023-10-15 00:00:00
118,customer118@example.com,Customer 118,UK,2023-12-20,52,Individual,2023-12-20 00:00:00
119,customer119@example.com,Customer 119,France,2023-07-09,53,Individual,2023-07-09 00:00:00
120,customer120@example.com,Customer 120,UK,2023-08-09,20,Business,2023-08-09 00:00:00
121,customer121@example.com,Customer 121,USA,2023-07-06,75,Business,2023-07-06 00:00:00
122,customer122@example.com,Customer 122,Australia,2023-04-18,33,Enterprise,2023-04-18 00:00:00
123,customer123@example.com,Customer 123,Canada,2023-02-22,67,Enterprise,2023-02-22 00:00:00
124,customer124@example.com,Customer 124,France,2023-07-28,65,Individual,2023-07-28 00:00:00
125,customer125@example.com,Customer 125,UK,2023-05-02,69,Individual,2023-05-02 00:00:00
126,customer126@example.com,Customer 126,USA,2023-07-31,29,Enterprise,2023-07-31 00:00:00
127,customer127@example.com,Customer 127,Germany,2023-06-20,69,Enterprise,2023-06-20 00:00:00
128,customer128@example.com,Customer 128,Canada,2023-05-08,28,Enterprise,2023-05-08 00:00:00
129,customer129@example.com,Customer 129,Germany,2023-02-25,73,Individual,2023-02-25 00:00:00
130,customer130@example.com,Customer 130,UK,2023-08-29,30,Business,2023-08-29 00:00:00
131,customer131@example.com,Customer 131,Canada,2023-06-29,70,Individual,2023-06-29 00:00:00
132,customer132@example.com,Customer 132,USA,2023-04-25,60,Individual,2023-04-25 00:00:00
133,customer133@example.com,Customer 133,Canada,2023-07-24,35,Individual,2023-07-24 00:00:00
134,customer134@example.com,Customer 134,Canada,2023-05-23,59,Enterprise,2023-05-23 00:00:00
135,customer135@example.com,Customer 135,Australia,2023-07-24,71,Enterprise,2023-07-24 00:00:00
136,customer136@example.com,Customer 136,USA,2023-06-19,25,Business,2023-06-19 00:00:00
137,customer137@example.com,Customer 137,France,2023-04-02,34,Individual,2023-04-02 00:00:00
138,customer138@example.com,Customer 138,France,2023-02-25,45,Business,2023-02-25 00:00:00
139,customer139@example.com,Customer 139,Germany,2023-06-10,56,Enterprise,2023-06-10 00:00:00
140,customer140@example.com,Customer 140,Germany,2023-03-01,75,Enterprise,2023-03-01 00:00:00
141,customer141@example.com,Customer 141,Canada,2023-04-08,20,Enterprise,2023-04-08 00:00:00
142,customer142@example.com,Customer 142,USA,2023-08-12,51,Enterprise,2023-08-12 00:00:00
143,customer143@example.com,Customer 143,Australia,2023-12-18,65,Enterprise,2023-12-18 00:00:00
144,customer144@example.com,Customer 144,UK,2023-12-10,41,Business,2023-12-10 00:00:00
145,customer145@example.com,Customer 145,Australia,2023-02-05,39,Enterprise,2023-02-05 00:00:00
146,customer146@example.com,Customer 146,Australia,2023-06-10,72,Individual,2023-06-10 00:00:00
147,customer147@example.com,Customer 147,France,2023-06-03,37,Enterprise,2023-06-03 00:00:00
148,customer148@example.com,Customer 148,Canada,2023-07-29,43,Enterprise,2023-07-29 00:00:00
149,customer149@example.com,Customer 149,France,2023-06-01,26,Individual,2023-06-01 00:00:00
150,customer150@example.com,Customer 150,Australia,2023-08-04,42,Enterprise,2023-08-04 00:00:00
151,customer151@example.com,Customer 151,France,2023-03-31,54,Business,2023-03-31 00:00:00
152,customer152@example.com,Customer 152,France,2023-07-27,71,Individual,2023-07-27 00:00:00
153,customer153@example.com,Customer 153,Canada,2023-06-05,31,Business,2023-06-05 00:00:00
154,customer154@example.com,Customer 154,France,2023-10-24,59,Business,2023-10-24 00:00:00
155,customer155@example.com,Customer 155,Germany,2023-08-27,46,Enterprise,2023-08-27 00:00:00
156,customer156@example.com,Customer 156,France,2023-04-20,48,Enterprise,2023-04-20 00:00:00
157,customer157@example.com,Customer 157,Australia,2023-03-28,23,Business,2023-03-28 00:00:00
158,customer158@example.com,Customer 158,Australia,2023-09-21,58,Enterprise,2023-09-21 00:00:00
159,customer159@example.com,Customer 159,USA,2023-06-21,70,Individual,2023-06-21 00:00:00
160,customer160@example.com,Customer 160,Canada,2023-12-11,32,Individual,2023-12-11 00:00:00
161,customer161@example.com,Customer 161,USA,2023-03-17,20,Individual,2023-03-17 00:00:00
162,customer162@example.com,Customer 162,France,2023-09-01,72,Individual,2023-09-01 00:00:00
163,customer163@example.com,Customer 163,Germany,2023-08-22,74,Enterprise,2023-08-22 00:00:00
164,customer164@example.com,Customer 164,UK,2023-10-22,63,Enterprise,2023-10-22 00:00:00
165,customer165@example.com,Customer 165,Germany,2023-07-16,43,Individual,2023-07-16 00:00:00
166,customer166@example.com,Customer 166,Australia,2023-03-17,62,Individual,2023-03-17 00:00:00
167,customer167@example.com,Customer 167,Germany,2023-02-24,32,Individual,2023-02-24 00:00:00
168,customer168@example.com,Customer 168,France,2023-12-23,47,Individual,2023-12-23 00:00:00
169,customer169@example.com,Customer 169,UK,2023-10-13,72,Individual,2023-10-13 00:00:00
170,customer170@example.com,Customer 170,UK,2023-08-22,69,Business,2023-08-22 00:00:00
171,customer171@example.com,Customer 171,France,2023-12-08,53,Enterprise,2023-12-08 00:00:00
172,customer172@example.com,Customer 172,Germany,2023-06-12,57,Enterprise,2023-06-12 00:00:00
173,customer173@example.com,Customer 173,Germany,2023-09-16,71,Enterprise,2023-09-16 00:00:00
174,customer174@example.com,Customer 174,UK,2023-08-17,65,Business,2023-08-17 00:00:00
175,customer175@example.com,Customer 175,Canada,2023-08-19,66,Individual,2023-08-19 00:00:00
176,customer176@example.com,Customer 176,Canada,2023-11-23,67,Enterprise,2023-11-23 00:00:00
177,customer177@example.com,Customer 177,Australia,2023-09-06,33,Business,2023-09-06 00:00:00
178,customer178@example.com,Customer 178,USA,2023-08-14,63,Business,2023-08-14 00:00:00
179,customer179@example.com,Customer 179,Canada,2023-05-01,39,Business,2023-05-01 00:00:00
180,customer180@example.com,Customer 180,USA,2023-10-04,26,Individual,2023-10-04 00:00:00
181,customer181@example.com,Customer 181,Germany,2023-04-29,62,Individual,2023-04-29 00:00:00
182,customer182@example.com,Customer 182,UK,2023-12-28,22,Business,2023-12-28 00:00:00
183,customer183@example.com,Customer 183,Canada,2023-07-28,52,Business,2023-07-28 00:00:00
184,customer184@example.com,Customer 184,USA,2023-08-01,31,Business,2023-08-01 00:00:00
185,customer185@example.com,Customer 185,France,2023-07-19,62,Individual,2023-07-19 00:00:00
186,customer186@example.com,Customer 186,Germany,2023-10-22,48,Individual,2023-10-22 00:00:00
187,customer187@example.com,Customer 187,Canada,2023-06-30,66,Business,2023-06-30 00:00:00
188,customer188@example.com,Customer 188,France,2023-08-03,65,Enterprise,2023-08-03 00:00:00
189,customer189@example.com,Customer 189,France,2023-10-07,75,Individual,2023-10-07 00:00:00
190,customer190@example.com,Customer 190,UK,2023-09-07,35,Business,2023-09-07 00:00:00
191,customer191@example.com,Customer 191,USA,2023-09-06,42,Business,2023-09-06 00:00:00
192,customer192@example.com,Customer 192,Australia,2023-12-09,69,Business,2023-12-09 00:00:00
193,customer193@example.com,Customer 193,Germany,2023-03-26,26,Enterprise,2023-03-26 00:00:00
194,customer194@example.com,Customer 194,USA,2023-10-01,43,Enterprise,2023-10-01 00:00:00
195,customer195@example.com,Customer 195,Australia,2023-10-16,19,Individual,2023-10-16 00:00:00
196,customer196@example.com,Customer 196,Germany,2023-11-26,26,Business,2023-11-26 00:00:00
197,customer197@example.com,Customer 197,USA,2023-04-04,34,Business,2023-04-04 00:00:00
198,customer198@example.com,Customer 198,UK,2023-06-17,47,Business,2023-06-17 00:00:00
199,customer199@example.com,Customer 199,Germany,2023-06-22,35,Business,2023-06-22 00:00:00
200,customer200@example.com,Customer 200,USA,2023-05-10,48,Individual,2023-05-10 00:00:00
201,customer201@example.com,Customer 201,USA,2023-10-04,40,Individual,2023-10-04 00:00:00
202,customer202@example.com,Customer 202,USA,2023-11-29,67,Enterprise,2023-11-29 00:00:00
203,customer203@example.com,Customer 203,USA,2023-01-21,33,Individual,2023-01-21 00:00:00
204,customer204@example.com,Customer 204,France,2023-01-11,27,Individual,2023-01-11 00:00:00
205,customer205@example.com,Customer 205,Germany,2023-03-06,60,Individual,2023-03-06 00:00:00
206,customer206@example.com,Customer 206,UK,2023-10-16,47,Enterprise,2023-10-16 00:00:00
207,customer207@example.com,Customer 207,Canada,2023-05-12,28,Enterprise,2023-05-12 00:00:00
208,customer208@example.com,Customer 208,Australia,2023-11-07,63,Individual,2023-11-07 00:00:00
209,customer209@example.com,Customer 209,Canada,2023-03-25,24,Enterprise,2023-03-25 00:00:00
210,customer210@example.com,Customer 210,Canada,2023-01-14,54,Enterprise,2023-01-14 00:00:00
211,customer211@example.com,Customer 211,Germany,2023-07-12,63,Individual,2023-07-12 00:00:00
212,customer212@example.com,Customer 212,France,2023-02-08,62,Enterprise,2023-02-08 00:00:00
213,customer213@example.com,Customer 213,USA,2023-05-05,62,Business,2023-05-05 00:00:00
214,customer214@example.com,Customer 214,France,2023-12-17,69,Individual,2023-12-17 00:00:00
215,customer215@example.com,Customer 215,USA,2023-10-17,40,Enterprise,2023-10-17 00:00:00
216,customer216@example.com,Customer 216,Australia,2023-08-08,41,Individual,2023-08-08 00:00:00
217,customer217@example.com,Customer 217,Australia,2023-09-17,39,Individual,2023-09-17 00:00:00
218,customer218@example.com,Customer 218,Germany,2023-08-04,24,Business,2023-08-04 00:00:00
219,customer219@example.com,Customer 219,Australia,2023-07-05,75,Business,2023-07-05 00:00:00
220,customer220@example.com,Customer 220,UK,2023-12-29,45,Individual,2023-12-29 00:00:00
221,customer221@example.com,Customer 221,Australia,2023-09-25,35,Enterprise,2023-09-25 00:00:00
222,customer222@example.com,Customer 222,Germany,2023-10-03,47,Business,2023-10-03 00:00:00
223,customer223@example.com,Customer 223,Canada,2023-10-31,38,Individual,2023-10-31 00:00:00
224,customer224@example.com,Customer 224,Canada,2023-02-14,74,Business,2023-02-14 00:00:00
225,customer225@example.com,Customer 225,Germany,2023-05-05,54,Enterprise,2023-05-05 00:00:00
226,customer226@example.com,Customer 226,Germany,2023-12-09,39,Individual,2023-12-09 00:00:00
227,customer227@example.com,Customer 227,Canada,2023-09-11,29,Business,2023-09-11 00:00:00
228,customer228@example.com,Customer 228,Canada,2023-04-19,69,Business,2023-04-19 00:00:00
229,customer229@example.com,Customer 229,Canada,2023-06-24,74,Enterprise,2023-06-24 00:00:00
230,customer230@example.com,Customer 230,Canada,2023-12-26,53,Individual,2023-12-26 00:00:00
231,customer231@example.com,Customer 231,UK,2023-09-22,23,Individual,2023-09-22 00:00:00
232,customer232@example.com,Customer 232,Germany,2023-07-28,53,Individual,2023-07-28 00:00:00
233,customer233@example.com,Customer 233,Germany,2023-12-20,59,Enterprise,2023-12-20 00:00:00
234,customer234@example.com,Customer 234,Germany,2023-09-09,68,Individual,2023-09-09 00:00:00
235,customer235@example.com,Customer 235,Canada,2023-02-17,32,Business,2023-02-17 00:00:00
236,customer236@example.com,Customer 236,UK,2023-12-21,37,Enterprise,2023-12-21 00:00:00
237,customer237@example.com,Customer 237,Canada,2023-10-25,48,Enterprise,2023-10-25 00:00:00
238,customer238@example.com,Customer 238,Canada,2023-09-29,45,Enterprise,2023-09-29 00:00:00
239,customer239@example.com,Customer 239,Canada,2023-10-09,40,Enterprise,2023-10-09 00:00:00
240,customer240@example.com,Customer 240,Canada,2023-08-21,37,Business,2023-08-21 00:00:00
241,customer241@example.com,Customer 241,USA,2023-04-29,64,Individual,2023-04-29 00:00:00
242,customer242@example.com,Customer 242,USA,2023-06-11,65,Enterprise,2023-06-11 00:00:00
243,customer243@example.com,Customer 243,UK,2023-12-20,30,Individual,2023-12-20 00:00:00
244,customer244@example.com,Customer 244,Canada,2023-09-05,64,Enterprise,2023-09-05 00:00:00
245,customer245@example.com,Customer 245,France,2023-09-26,36,Individual,2023-09-26 00:00:00
246,customer246@example.com,Customer 246,Canada,2023-04-10,32,Business,2023-04-10 00:00:00
247,customer247@example.com,Customer 247,Canada,2023-04-02,18,Enterprise,2023-04-02 00:00:00
248,customer248@example.com,Customer 248,UK,2023-10-01,35,Individual,2023-10-01 00:00:00
249,customer249@example.com,Customer 249,France,2023-01-28,36,Enterprise,2023-01-28 00:00:00
250,customer250@example.com,Customer 250,Australia,2023-03-06,73,Business,2023-03-06 00:00:00
251,customer251@example.com,Customer 251,USA,2023-02-22,54,Business,2023-02-22 00:00:00
252,customer252@example.com,Customer 252,Germany,2023-08-29,46,Business,2023-08-29 00:00:00
253,customer253@example.com,Customer 253,USA,2023-04-05,34,Business,2023-04-05 00:00:00
254,customer254@example.com,Customer 254,USA,2023-02-28,43,Business,2023-02-28 00:00:00
255,customer255@example.com,Customer 255,France,2023-02-07,58,Enterprise,2023-02-07 00:00:00
256,customer256@example.com,Customer 256,UK,2023-01-28,27,Enterprise,2023-01-28 00:00:00
257,customer257@example.com,Customer 257,USA,2023-06-05,33,Individual,2023-06-05 00:00:00
258,customer258@example.com,Customer 258,Germany,2023-10-13,56,Enterprise,2023-10-13 00:00:00
259,customer259@example.com,Customer 259,UK,2023-11-13,67,Enterprise,2023-11-13 00:00:00
260,customer260@example.com,Customer 260,Germany,2023-07-14,46,Business,2023-07-14 00:00:00
261,customer261@example.com,Customer 261,Germany,2023-10-29,37,Enterprise,2023-10-29 00:00:00
262,customer262@example.com,Customer 262,USA,2023-11-14,57,Enterprise,2023-11-14 00:00:00
263,customer263@example.com,Customer 263,UK,2023-02-20,58,Individual,2023-02-20 00:00:00
264,customer264@example.com,Customer 264,Australia,2023-05-16,23,Individual,2023-05-16 00:00:00
265,customer265@example.com,Customer 265,UK,2023-05-03,53,Individual,2023-05-03 00:00:00
266,customer266@example.com,Customer 266,USA,2023-03-22,44,Business,2023-03-22 00:00:00
267,customer267@example.com,Customer 267,France,2023-12-19,48,Business,2023-12-19 00:00:00
268,customer268@example.com,Customer 268,UK,2023-01-17,36,Enterprise,2023-01-17 00:00:00
269,customer269@example.com,Customer 269,Australia,2023-05-25,73,Business,2023-05-25 00:00:00
270,customer270@example.com,Customer 270,Australia,2023-02-06,32,Business,2023-02-06 00:00:00
271,customer271@example.com,Customer 271,France,2023-11-17,60,Individual,2023-11-17 00:00:00
272,customer272@example.com,Customer 272,USA,2023-08-06,52,Individual,2023-08-06 00:00:00
273,customer273@example.com,Customer 273,UK,2023-11-28,35,Individual,2023-11-28 00:00:00
274,customer274@example.com,Customer 274,USA,2023-02-06,28,Business,2023-02-06 00:00:00
275,customer275@example.com,Customer 275,Australia,2023-11-01,70,Enterprise,2023-11-01 00:00:00
276,customer276@example.com,Customer 276,Germany,2023-05-28,25,Business,2023-05-28 00:00:00
277,customer277@example.com,Customer 277,Canada,2023-12-19,62,Business,2023-12-19 00:00:00
278,customer278@example.com,Customer 278,France,2023-05-20,52,Business,2023-05-20 00:00:00
279,customer279@example.com,Customer 279,USA,2023-08-13,56,Individual,2023-08-13 00:00:00
280,customer280@example.com,Customer 280,Australia,2023-08-10,38,Enterprise,2023-08-10 00:00:00
281,customer281@example.com,Customer 281,USA,2023-05-09,23,Individual,2023-05-09 00:00:00
282,customer282@example.com,Customer 282,France,2023-12-12,55,Individual,2023-12-12 00:00:00
283,customer283@example.com,Customer 283,Canada,2023-12-11,54,Individual,2023-12-11 00:00:00
284,customer284@example.com,Customer 284,Germany,2023-03-31,51,Enterprise,2023-03-31 00:00:00
285,customer285@example.com,Customer 285,Canada,2023-08-15,29,Enterprise,2023-08-15 00:00:00
286,customer286@example.com,Customer 286,Australia,2023-08-12,70,Business,2023-08-12 00:00:00
287,customer287@example.com,Customer 287,Germany,2023-02-16,40,Business,2023-02-16 00:00:00
288,customer288@example.com,Customer 288,Canada,2023-06-20,60,Individual,2023-06-20 00:00:00
289,customer289@example.com,Customer 289,Canada,2023-03-24,44,Enterprise,2023-03-24 00:00:00
290,customer290@example.com,Customer 290,Canada,2023-09-11,60,Business,2023-09-11 00:00:00
291,customer291@example.com,Customer 291,USA,2023-10-09,47,Individual,2023-10-09 00:00:00
292,customer292@example.com,Customer 292,Canada,2023-06-11,38,Individual,2023-06-11 00:00:00
293,customer293@example.com,Customer 293,France,2023-07-26,70,Individual,2023-07-26 00:00:00
294,customer294@example.com,Customer 294,France,2023-12-03,47,Business,2023-12-03 00:00:00
295,customer295@example.com,Customer 295,UK,2023-01-28,51,Business,2023-01-28 00:00:00
296,customer296@example.com,Customer 296,Germany,2023-11-15,58,Business,2023-11-15 00:00:00
297,customer297@example.com,Customer 297,UK,2023-01-27,35,Enterprise,2023-01-27 00:00:00
298,customer298@example.com,Customer 298,Canada,2023-03-09,46,Enterprise,2023-03-09 00:00:00
299,customer299@example.com,Customer 299,USA,2023-09-06,19,Enterprise,2023-09-06 00:00:00
300,customer300@example.com,Customer 300,UK,2023-11-08,63,Individual,2023-11-08 00:00:00
301,customer301@example.com,Customer 301,France,2023-06-09,18,Enterprise,2023-06-09 00:00:00
302,customer302@example.com,Customer 302,USA,2023-07-28,32,Individual,2023-07-28 00:00:00
303,customer303@example.com,Customer 303,USA,2023-08-25,59,Individual,2023-08-25 00:00:00
304,customer304@example.com,Customer 304,Australia,2023-09-13,36,Enterprise,2023-09-13 00:00:00
